时间,维度,来源,X,Y,Z,事件,目标,x,y,z,附加信息
2023-07-10 00:00:24,主世界,zhuan jiao2490,151,15,-108,放置方块,minecraft:stonebrick,149,17,-110,
2023-07-10 00:00:26,主世界,zhuan jiao2490,151,15,-108,放置方块,minecraft:stonebrick,149,16,-110,
2023-07-10 00:00:27,主世界,zhuan jiao2490,151,15,-108,放置方块,minecraft:stonebrick,149,15,-110,
2023-07-10 00:00:29,主世界,zhuan jiao2490,151,15,-111,放置方块,minecraft:stonebrick,149,17,-112,
2023-07-10 00:00:31,主世界,zhuan jiao2490,151,15,-111,使用物品,钻石镐,,,,类型：minecraft:netherite_pickaxe
2023-07-10 00:00:31,主世界,zhuan jiao2490,151,15,-111,破坏方块,minecraft:stone_brick_stairs,149,17,-111,
2023-07-10 00:00:32,主世界,zhuan jiao2490,150,16,-111,捡起物品,Stone Brick Stairs,151,16,-111,1个
2023-07-10 00:00:34,主世界,zhuan jiao2490,151,15,-110,放置方块,minecraft:stonebrick,149,17,-112,
2023-07-10 00:00:36,主世界,zhuan jiao2490,151,15,-110,放置方块,minecraft:stonebrick,149,16,-112,
2023-07-10 00:00:36,主世界,zhuan jiao2490,151,15,-110,放置方块,minecraft:stone_brick_stairs,149,16,-111,
2023-07-10 00:00:38,主世界,zhuan jiao2490,151,15,-110,放置方块,minecraft:stonebrick,149,13,-111,
2023-07-10 00:00:41,主世界,zhuan jiao2490,151,15,-112,放置方块,minecraft:stonebrick,149,17,-114,
2023-07-10 00:00:42,主世界,zhuan jiao2490,151,15,-112,放置方块,minecraft:stonebrick,149,16,-114,
2023-07-10 00:00:43,主世界,zhuan jiao2490,151,15,-112,放置方块,minecraft:stone_brick_stairs,149,16,-113,
2023-07-10 00:00:44,主世界,zhuan jiao2490,151,15,-112,放置方块,minecraft:stonebrick,149,13,-113,
2023-07-10 00:00:50,主世界,zhuan jiao2490,155,16,-106,放置方块,minecraft:stonebrick,154,12,-107,
2023-07-10 00:00:50,主世界,zhuan jiao2490,155,17,-106,放置方块,minecraft:obsidian,154,13,-107,
2023-07-10 00:00:51,主世界,zhuan jiao2490,155,18,-106,放置方块,minecraft:obsidian,154,14,-107,
2023-07-10 00:00:51,主世界,zhuan jiao2490,155,19,-106,放置方块,minecraft:obsidian,154,15,-107,
2023-07-10 00:00:51,主世界,zhuan jiao2490,155,20,-106,放置方块,minecraft:obsidian,154,16,-107,
2023-07-10 00:00:52,主世界,zhuan jiao2490,155,20,-106,放置方块,minecraft:obsidian,154,17,-107,
2023-07-10 00:00:54,主世界,zhuan jiao2490,155,20,-105,放置方块,minecraft:obsidian,154,17,-107,
2023-07-10 00:00:56,主世界,zhuan jiao2490,151,20,-106,放置方块,minecraft:obsidian,154,18,-107,
2023-07-10 00:00:56,主世界,zhuan jiao2490,151,20,-106,放置方块,minecraft:obsidian,153,18,-107,
2023-07-10 00:00:56,主世界,zhuan jiao2490,150,20,-106,放置方块,minecraft:obsidian,152,18,-107,
2023-07-10 00:00:57,主世界,zhuan jiao2490,150,20,-106,放置方块,minecraft:obsidian,151,18,-107,
2023-07-10 00:00:58,主世界,zhuan jiao2490,149,20,-108,放置方块,minecraft:obsidian,151,18,-107,
2023-07-10 00:01:00,主世界,zhuan jiao2490,150,15,-107,放置方块,minecraft:obsidian,150,18,-107,
2023-07-10 00:01:00,主世界,zhuan jiao2490,150,15,-106,放置方块,minecraft:obsidian,150,17,-107,
2023-07-10 00:01:01,主世界,zhuan jiao2490,150,15,-106,放置方块,minecraft:obsidian,150,16,-107,
2023-07-10 00:01:01,主世界,zhuan jiao2490,150,15,-106,放置方块,minecraft:obsidian,150,15,-107,
2023-07-10 00:01:02,主世界,zhuan jiao2490,150,15,-108,放置方块,minecraft:stonebrick,150,13,-106,
2023-07-10 00:01:02,主世界,zhuan jiao2490,150,15,-108,放置方块,minecraft:obsidian,150,13,-107,
2023-07-10 00:01:03,主世界,zhuan jiao2490,152,15,-108,放置方块,minecraft:stonebrick,151,12,-107,
2023-07-10 00:01:04,主世界,zhuan jiao2490,153,15,-108,放置方块,minecraft:stonebrick,152,12,-107,
2023-07-10 00:01:04,主世界,zhuan jiao2490,154,15,-108,放置方块,minecraft:stonebrick,153,12,-107,
2023-07-10 00:01:10,主世界,zhuan jiao2490,153,15,-112,放置方块,minecraft:stonebrick,154,12,-113,
2023-07-10 00:01:11,主世界,zhuan jiao2490,153,15,-110,放置方块,minecraft:stonebrick,154,12,-111,
2023-07-10 00:01:11,主世界,zhuan jiao2490,153,15,-108,放置方块,minecraft:stonebrick,154,12,-109,
2023-07-10 00:01:13,主世界,zhuan jiao2490,153,15,-112,放置方块,minecraft:stonebrick,155,13,-112,
2023-07-10 00:01:13,主世界,zhuan jiao2490,153,15,-109,放置方块,minecraft:stonebrick,155,13,-110,
2023-07-10 00:01:14,主世界,zhuan jiao2490,153,16,-107,放置方块,minecraft:stonebrick,155,14,-108,
2023-07-10 00:01:16,主世界,zhuan jiao2490,153,15,-108,放置方块,minecraft:stonebrick,155,13,-108,
2023-07-10 00:01:17,主世界,zhuan jiao2490,153,15,-108,使用物品,钻石镐,,,,类型：minecraft:netherite_pickaxe
2023-07-10 00:01:17,主世界,zhuan jiao2490,154,15,-108,破坏方块,minecraft:nether_brick_stairs,154,14,-108,
2023-07-10 00:01:17,主世界,zhuan jiao2490,154,15,-108,捡起物品,Nether Brick Stairs,154,14,-107,1个
2023-07-10 00:01:31,主世界,zhuan jiao2490,154,15,-114,使用物品,钻石镐,,,,类型：minecraft:netherite_pickaxe
