时间,维度,来源,X,Y,Z,事件,目标,x,y,z,附加信息
2023-08-10 01:42:57,,akirasnowy,,,,开始进服,,,,,xuid=2535422970999523
2023-08-10 01:43:02,下界,akirasnowy,638,117,666,进入服务器,,,,,xuid=2535422970999523
2023-08-10 01:43:03,下界,Arrow,,,,弹射物击中,Skeleton,638,116,596,
2023-08-10 01:43:04,下界,akirasnowy,639,117,667,捡起物品,Lead,638,115,668,2个
2023-08-10 01:43:04,下界,Arrow,,,,弹射物击中,Skeleton,638,116,597,
2023-08-10 01:43:04,下界,Arrow,,,,弹射物击中,Skeleton,638,116,599,
2023-08-10 01:43:05,下界,akirasnowy,639,117,669,使用物品,Sweet Berries,,,,类型：minecraft:sweet_berries
2023-08-10 01:43:05,下界,akirasnowy,639,117,669,进食,Sweet Berries,,,,
2023-08-10 01:43:06,下界,Arrow,,,,弹射物击中,Skeleton,638,116,597,
2023-08-10 01:43:06,下界,Arrow,,,,弹射物击中,Skeleton,638,116,599,
2023-08-10 01:43:07,下界,Arrow,,,,弹射物击中,Skeleton,638,116,597,
2023-08-10 01:43:07,下界,Arrow,,,,弹射物击中,Skeleton,638,116,599,
2023-08-10 01:43:07,下界,akirasnowy,639,117,669,使用物品,Sweet Berries,,,,类型：minecraft:sweet_berries
2023-08-10 01:43:08,下界,akirasnowy,639,117,669,切换维度,前往主世界,,,,
2023-08-10 01:43:17,主世界,Arrow,,,,弹射物击中,akirasnowy,5135,76,5359,
2023-08-10 01:43:25,主世界,Arrow,,,,弹射物击中,weiheping,5129,74,5355,
2023-08-10 01:43:27,主世界,Arrow,,,,弹射物击中,小狗崽,5134,73,5359,
2023-08-10 01:43:29,主世界,Arrow,,,,弹射物击中,weiheping,5127,74,5353,
2023-08-10 01:43:31,主世界,akirasnowy,5120,76,5354,使用物品,Sweet Berries,,,,类型：minecraft:sweet_berries
2023-08-10 01:43:31,主世界,akirasnowy,5120,76,5354,进食,Sweet Berries,,,,
2023-08-10 01:43:31,主世界,Arrow,,,,弹射物击中,weiheping,5126,74,5352,
2023-08-10 01:43:31,主世界,weiheping,5126,74,5352,玩家死亡,,,,,
2023-08-10 01:43:31,,weiheping,,,,离开服务器,,,,,
2023-08-10 01:43:32,主世界,weiheping,-28,72,452,进入服务器,,,,,xuid=-17043654587321813837
2023-08-10 01:43:32,主世界,akirasnowy,5120,76,5354,使用物品,Sweet Berries,,,,类型：minecraft:sweet_berries
2023-08-10 01:43:32,主世界,akirasnowy,5120,76,5354,进食,Sweet Berries,,,,
2023-08-10 01:43:33,主世界,akirasnowy,5120,76,5354,使用物品,Sweet Berries,,,,类型：minecraft:sweet_berries
2023-08-10 01:43:33,主世界,akirasnowy,5120,76,5354,进食,Sweet Berries,,,,
2023-08-10 01:43:33,主世界,Arrow,,,,弹射物击中,weiheping,5129,74,5355,
2023-08-10 01:43:35,主世界,akirasnowy,5120,76,5354,使用物品,Sweet Berries,,,,类型：minecraft:sweet_berries
2023-08-10 01:43:35,主世界,akirasnowy,5120,76,5354,进食,Sweet Berries,,,,
2023-08-10 01:43:35,主世界,akirasnowy,5120,76,5354,使用物品,Sweet Berries,,,,类型：minecraft:sweet_berries
2023-08-10 01:43:35,主世界,akirasnowy,5120,76,5354,使用物品,Sweet Berries,,,,类型：minecraft:sweet_berries
2023-08-10 01:43:35,主世界,Arrow,,,,弹射物击中,weiheping,5128,74,5353,
2023-08-10 01:43:35,主世界,akirasnowy,5120,76,5354,使用物品,Sweet Berries,,,,类型：minecraft:sweet_berries
2023-08-10 01:43:35,主世界,Arrow,,,,弹射物击中,小狗崽,5127,72,5353,
2023-08-10 01:43:38,主世界,Arrow,,,,弹射物击中,weiheping,5126,74,5352,
2023-08-10 01:43:38,主世界,weiheping,5126,74,5352,玩家死亡,,,,,
2023-08-10 01:43:38,,weiheping,,,,离开服务器,,,,,
2023-08-10 01:43:38,主世界,Arrow,,,,弹射物击中,小狗崽,5127,72,5353,
2023-08-10 01:43:38,主世界,weiheping,-28,72,452,进入服务器,,,,,xuid=-15090641678558813045
2023-08-10 01:43:41,主世界,Arrow,,,,弹射物击中,小狗崽,5133,73,5357,
2023-08-10 01:43:43,主世界,Arrow,,,,弹射物击中,小狗崽,5130,72,5355,
2023-08-10 01:43:46,主世界,Arrow,,,,弹射物击中,weiheping,5129,74,5355,
2023-08-10 01:43:48,主世界,Arrow,,,,弹射物击中,weiheping,5127,74,5353,
2023-08-10 01:43:51,主世界,Arrow,,,,弹射物击中,weiheping,5126,74,5352,
2023-08-10 01:44:23,主世界,Arrow,,,,弹射物击中,akirasnowy,5129,74,5348,
2023-08-10 01:44:23,,akirasnowy,,,,离开服务器,,,,,
2023-08-10 02:13:49,主世界,Arrow,,,,弹射物击中,小狗崽,5136,74,5360,
2023-08-10 02:13:51,主世界,Arrow,,,,弹射物击中,小狗崽,5136,74,5360,
2023-08-10 02:13:52,主世界,Skeleton,5137,73,5360,生物死亡,,,,,由于小狗崽的攻击
2023-08-10 02:14:11,主世界,Arrow,,,,弹射物击中,小狗崽,5110,72,5384,
2023-08-10 02:14:11,主世界,小狗崽,5110,72,5384,生物死亡,,,,,由于Skeleton的攻击
