时间,维度,来源,X,Y,Z,事件,目标,x,y,z,附加信息
2023-07-08 03:35:32,,LLqian,,,,开始进服,,,,,xuid=2535409188831987
2023-07-08 03:35:39,主世界,Snowball,,,,弹射物击中,LLqian,3969,64,415,
2023-07-08 03:35:41,主世界,Snowball,,,,弹射物击中,LLqian,3969,64,415,
2023-07-08 03:35:42,主世界,Snowball,,,,弹射物击中,LLqian,3969,64,415,
2023-07-08 03:35:43,主世界,Snowball,,,,弹射物击中,LLqian,3969,64,415,
2023-07-08 03:35:44,主世界,Snowball,,,,弹射物击中,LLqian,3969,65,415,
2023-07-08 03:35:44,主世界,LLqian,3969,65,415,进入服务器,,,,,xuid=2535409188831987
2023-07-08 03:35:50,主世界,Snowball,,,,弹射物击中,LLqian,3969,64,415,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
2023-07-08 03:35:52,主世界,Snowball,,,,弹射物击中,LLqian,3970,65,414,
