时间,维度,来源,X,Y,Z,事件,目标,x,y,z,附加信息
2023-07-06 10:12:13,,Creapeton,,,,开始进服,,,,,xuid=2535430616689645
2023-07-06 10:12:22,主世界,Creapeton,-18,63,449,进入服务器,,,,,xuid=2535430616689645
2023-07-06 10:12:42,主世界,Creapeton,-17,62,445,方块接受玩家互动,minecraft:wooden_button,-17,61,444,
2023-07-06 10:12:45,主世界,Creapeton,-16,56,445,方块接受玩家互动,minecraft:wooden_button,-17,55,444,
2023-07-06 10:12:58,主世界,Creapeton,-17,50,448,玩家执行命令,gamemode c,,,,
2023-07-06 10:13:13,主世界,Creapeton,-19,50,451,玩家执行命令,give @s command_block,,,,
2023-07-06 10:13:16,主世界,Creapeton,-19,50,456,放置方块,minecraft:glass,-21,47,455,
2023-07-06 10:13:55,主世界,Creapeton,-19,50,454,方块接受玩家互动,minecraft:command_block,-21,48,455,
2023-07-06 10:13:55,主世界,Creapeton,-19,50,454,打开容器,minecraft:command_block,-21,48,455,
2023-07-06 10:15:09,主世界,Creapeton,-20,50,454,方块接受玩家互动,minecraft:command_block,-21,48,455,
2023-07-06 10:15:09,主世界,Creapeton,-20,50,454,打开容器,minecraft:command_block,-21,48,455,
2023-07-06 10:15:25,主世界,Creapeton,-17,50,455,放置方块,minecraft:glass,-20,47,455,
2023-07-06 10:15:26,主世界,Creapeton,-17,50,455,方块接受玩家互动,minecraft:command_block,-20,48,455,
2023-07-06 10:15:26,主世界,Creapeton,-17,50,455,打开容器,minecraft:command_block,-20,48,455,
2023-07-06 10:15:43,主世界,Creapeton,-16,50,455,放置方块,minecraft:glass,-19,47,455,
2023-07-06 10:15:43,主世界,Creapeton,-16,50,455,方块接受玩家互动,minecraft:command_block,-19,48,455,
2023-07-06 10:15:43,主世界,Creapeton,-16,50,455,打开容器,minecraft:command_block,-19,48,455,
2023-07-06 10:15:52,主世界,Creapeton,-15,50,455,放置方块,minecraft:glass,-18,47,455,
2023-07-06 10:15:59,主世界,Creapeton,-16,50,455,方块接受玩家互动,minecraft:command_block,-18,48,455,
2023-07-06 10:15:59,主世界,Creapeton,-16,50,455,打开容器,minecraft:command_block,-18,48,455,
2023-07-06 10:16:25,主世界,Creapeton,-20,51,455,玩家执行命令,difficulty p,,,,
2023-07-06 10:16:27,主世界,Creapeton,-21,50,454,放置方块,minecraft:glass,-22,47,455,
2023-07-06 10:16:30,主世界,Creapeton,-20,50,454,方块接受玩家互动,minecraft:command_block,-21,48,455,
2023-07-06 10:16:30,主世界,Creapeton,-20,50,454,打开容器,minecraft:command_block,-21,48,455,
2023-07-06 10:16:36,主世界,Creapeton,-21,50,454,使用物品,Block of Redstone,,,,类型：minecraft:redstone_block
2023-07-06 10:16:36,主世界,Creapeton,-21,50,454,破坏方块,minecraft:redstone_block,-22,48,455,
2023-07-06 10:16:36,主世界,Creapeton,-21,50,454,放置方块,minecraft:glass,-22,47,455,
2023-07-06 10:16:38,主世界,Creapeton,-21,50,453,使用物品,Block of Redstone,,,,类型：minecraft:redstone_block
2023-07-06 10:16:38,主世界,Creapeton,-21,50,453,破坏方块,minecraft:redstone_block,-22,48,455,
2023-07-06 10:16:39,主世界,Creapeton,-20,50,453,方块接受玩家互动,minecraft:command_block,-21,48,455,
2023-07-06 10:16:39,主世界,Creapeton,-20,50,453,打开容器,minecraft:command_block,-21,48,455,
2023-07-06 10:16:51,主世界,Creapeton,-19,50,453,方块接受玩家互动,minecraft:chain_command_block,-20,48,455,
2023-07-06 10:16:51,主世界,Creapeton,-19,50,453,打开容器,minecraft:chain_command_block,-20,48,455,
2023-07-06 10:17:00,主世界,Creapeton,-18,50,453,方块接受玩家互动,minecraft:chain_command_block,-19,48,455,
2023-07-06 10:17:00,主世界,Creapeton,-18,50,453,打开容器,minecraft:chain_command_block,-19,48,455,
2023-07-06 10:17:11,主世界,Creapeton,-17,50,454,方块接受玩家互动,minecraft:chain_command_block,-18,48,455,
2023-07-06 10:17:11,主世界,Creapeton,-17,50,454,打开容器,minecraft:chain_command_block,-18,48,455,
2023-07-06 10:17:20,主世界,Creapeton,-21,50,453,放置方块,minecraft:magenta_wool,-23,48,455,
2023-07-06 10:17:22,主世界,Creapeton,-21,50,453,使用物品,Block of Redstone,,,,类型：minecraft:redstone_block
2023-07-06 10:17:22,主世界,Creapeton,-21,50,453,破坏方块,minecraft:redstone_block,-22,48,455,
2023-07-06 10:17:27,主世界,Creapeton,-20,51,455,方块接受玩家互动,minecraft:chain_command_block,-20,48,455,
2023-07-06 10:17:27,主世界,Creapeton,-20,51,455,打开容器,minecraft:chain_command_block,-20,48,455,
2023-07-06 10:17:51,主世界,Creapeton,-15,50,455,放置方块,minecraft:glass,-17,47,455,
2023-07-06 10:17:51,主世界,Creapeton,-15,50,455,方块接受玩家互动,minecraft:command_block,-17,48,455,
2023-07-06 10:17:51,主世界,Creapeton,-15,50,455,打开容器,minecraft:command_block,-17,48,455,
2023-07-06 10:18:09,主世界,Creapeton,-20,51,456,放置方块,minecraft:magenta_wool,-23,48,455,
2023-07-06 10:18:11,主世界,Creapeton,-20,51,456,使用物品,Block of Redstone,,,,类型：minecraft:redstone_block
2023-07-06 10:18:11,主世界,Creapeton,-20,51,456,破坏方块,minecraft:redstone_block,-22,48,455,
2023-07-06 10:18:25,主世界,Creapeton,-14,50,456,放置方块,minecraft:glass,-16,47,455,
2023-07-06 10:18:26,主世界,Creapeton,-14,50,456,使用物品,Block of Redstone,,,,类型：minecraft:redstone_block
2023-07-06 10:18:26,主世界,Creapeton,-14,50,456,破坏方块,minecraft:redstone_block,-16,48,455,
2023-07-06 10:18:27,主世界,Creapeton,-14,50,456,放置方块,minecraft:glass,-16,47,455,
2023-07-06 10:18:27,主世界,Creapeton,-14,50,456,方块接受玩家互动,minecraft:command_block,-16,48,455,
2023-07-06 10:18:27,主世界,Creapeton,-14,50,456,打开容器,minecraft:command_block,-16,48,455,
2023-07-06 10:18:42,主世界,Creapeton,-13,50,456,放置方块,minecraft:glass,-15,47,455,
2023-07-06 10:18:43,主世界,Creapeton,-13,50,456,方块接受玩家互动,minecraft:command_block,-15,48,455,
2023-07-06 10:18:43,主世界,Creapeton,-13,50,456,打开容器,minecraft:command_block,-15,48,455,
2023-07-06 10:19:05,主世界,Creapeton,-13,51,456,放置方块,minecraft:glass,-14,47,455,
2023-07-06 10:19:13,主世界,Creapeton,-13,51,456,方块接受玩家互动,minecraft:command_block,-14,48,455,
2023-07-06 10:19:13,主世界,Creapeton,-13,51,456,打开容器,minecraft:command_block,-14,48,455,
2023-07-06 10:19:24,主世界,Creapeton,-15,51,456,方块接受玩家互动,minecraft:chain_command_block,-16,48,455,
2023-07-06 10:19:24,主世界,Creapeton,-15,51,456,打开容器,minecraft:chain_command_block,-16,48,455,
2023-07-06 10:19:42,主世界,Creapeton,-20,51,456,放置方块,minecraft:magenta_wool,-23,48,455,
2023-07-06 10:19:44,主世界,Creapeton,-21,51,456,使用物品,Block of Redstone,,,,类型：minecraft:redstone_block
2023-07-06 10:19:45,主世界,Creapeton,-21,51,456,破坏方块,minecraft:redstone_block,-22,48,455,
2023-07-06 10:19:57,主世界,Creapeton,-16,51,456,方块接受玩家互动,minecraft:chain_command_block,-14,48,455,
2023-07-06 10:19:57,主世界,Creapeton,-16,51,456,打开容器,minecraft:chain_command_block,-14,48,455,
2023-07-06 10:19:58,主世界,Creapeton,-16,51,456,放置方块,minecraft:magenta_wool,-13,49,455,
2023-07-06 10:20:03,主世界,Creapeton,-15,51,456,方块接受玩家互动,minecraft:command_block,-14,49,455,
2023-07-06 10:20:03,主世界,Creapeton,-15,51,456,打开容器,minecraft:command_block,-14,49,455,
2023-07-06 10:20:26,主世界,Creapeton,-16,51,456,放置方块,minecraft:chain_command_block,-14,49,455,
2023-07-06 10:20:35,主世界,Creapeton,-17,51,456,方块接受玩家互动,minecraft:command_block,-15,49,455,
2023-07-06 10:20:35,主世界,Creapeton,-17,51,456,打开容器,minecraft:command_block,-15,49,455,
2023-07-06 10:20:44,主世界,Creapeton,-17,51,456,放置方块,minecraft:chain_command_block,-15,49,455,
2023-07-06 10:20:58,主世界,Creapeton,-18,51,456,方块接受玩家互动,minecraft:command_block,-16,49,455,
2023-07-06 10:20:58,主世界,Creapeton,-18,51,456,打开容器,minecraft:command_block,-16,49,455,
2023-07-06 10:21:09,主世界,Creapeton,-18,51,456,放置方块,minecraft:chain_command_block,-16,49,455,
2023-07-06 10:21:14,主世界,Creapeton,-19,51,456,方块接受玩家互动,minecraft:command_block,-17,49,455,
2023-07-06 10:21:14,主世界,Creapeton,-19,51,456,打开容器,minecraft:command_block,-17,49,455,
2023-07-06 10:21:23,主世界,Creapeton,-20,50,454,方块接受玩家互动,minecraft:command_block,-21,48,455,
2023-07-06 10:21:23,主世界,Creapeton,-20,50,454,打开容器,minecraft:command_block,-21,48,455,
2023-07-06 10:21:24,主世界,Creapeton,-20,50,454,方块接受玩家互动,minecraft:chain_command_block,-20,48,455,
2023-07-06 10:21:24,主世界,Creapeton,-20,50,454,打开容器,minecraft:chain_command_block,-20,48,455,
2023-07-06 10:21:28,主世界,Creapeton,-18,50,453,方块接受玩家互动,minecraft:chain_command_block,-19,48,455,
2023-07-06 10:21:28,主世界,Creapeton,-18,50,453,打开容器,minecraft:chain_command_block,-19,48,455,
2023-07-06 10:21:32,主世界,Creapeton,-16,50,453,方块接受玩家互动,minecraft:chain_command_block,-17,48,455,
2023-07-06 10:21:32,主世界,Creapeton,-16,50,453,打开容器,minecraft:chain_command_block,-17,48,455,
2023-07-06 10:21:37,主世界,Creapeton,-16,50,453,方块接受玩家互动,minecraft:chain_command_block,-16,48,455,
2023-07-06 10:21:37,主世界,Creapeton,-16,50,453,打开容器,minecraft:chain_command_block,-16,48,455,
2023-07-06 10:21:42,主世界,Creapeton,-13,50,453,方块接受玩家互动,minecraft:chain_command_block,-14,48,455,
2023-07-06 10:21:42,主世界,Creapeton,-13,50,453,打开容器,minecraft:chain_command_block,-14,48,455,
2023-07-06 10:21:45,主世界,Creapeton,-13,50,454,方块接受玩家互动,minecraft:chain_command_block,-14,49,455,
2023-07-06 10:21:45,主世界,Creapeton,-13,50,454,打开容器,minecraft:chain_command_block,-14,49,455,
2023-07-06 10:21:49,主世界,Creapeton,-20,50,454,放置方块,minecraft:magenta_wool,-23,48,455,
2023-07-06 10:21:54,主世界,Creapeton,-21,50,454,使用物品,Block of Redstone,,,,类型：minecraft:redstone_block
2023-07-06 10:21:54,主世界,Creapeton,-21,50,454,破坏方块,minecraft:redstone_block,-22,48,455,
2023-07-06 10:23:40,主世界,Creapeton,-21,51,455,使用物品,Block of Redstone,,,,类型：minecraft:redstone_block
2023-07-06 10:23:40,主世界,Creapeton,-21,51,455,破坏方块,minecraft:chain_command_block,-20,48,455,
2023-07-06 10:23:41,主世界,Creapeton,-22,50,455,使用物品,Block of Redstone,,,,类型：minecraft:redstone_block
2023-07-06 10:23:42,主世界,Creapeton,-22,50,455,破坏方块,minecraft:command_block,-21,48,455,
2023-07-06 10:23:42,主世界,Creapeton,-21,50,455,破坏方块,minecraft:chain_command_block,-19,48,455,
2023-07-06 10:23:42,主世界,Creapeton,-21,50,455,破坏方块,minecraft:chain_command_block,-18,48,455,
2023-07-06 10:23:43,主世界,Creapeton,-20,50,455,破坏方块,minecraft:chain_command_block,-17,48,455,
2023-07-06 10:23:43,主世界,Creapeton,-19,50,455,破坏方块,minecraft:chain_command_block,-17,49,455,
2023-07-06 10:23:44,主世界,Creapeton,-19,50,455,破坏方块,minecraft:chain_command_block,-16,48,455,
2023-07-06 10:23:44,主世界,Creapeton,-18,50,455,破坏方块,minecraft:chain_command_block,-16,49,455,
2023-07-06 10:23:45,主世界,Creapeton,-18,50,455,使用物品,Block of Redstone,,,,类型：minecraft:redstone_block
2023-07-06 10:23:45,主世界,Creapeton,-17,50,455,破坏方块,minecraft:chain_command_block,-15,49,455,
2023-07-06 10:23:46,主世界,Creapeton,-17,50,455,破坏方块,minecraft:chain_command_block,-15,48,455,
2023-07-06 10:23:46,主世界,Creapeton,-16,50,456,破坏方块,minecraft:chain_command_block,-14,48,455,
2023-07-06 10:23:47,主世界,Creapeton,-15,50,456,破坏方块,minecraft:chain_command_block,-14,49,455,
2023-07-06 10:23:50,主世界,Creapeton,-18,50,455,放置方块,minecraft:glass,-21,47,455,
2023-07-06 10:24:01,主世界,Creapeton,-21,51,455,方块接受玩家互动,minecraft:command_block,-21,48,455,
2023-07-06 10:24:01,主世界,Creapeton,-21,51,455,打开容器,minecraft:command_block,-21,48,455,
2023-07-06 10:24:06,主世界,Creapeton,-18,50,455,放置方块,minecraft:glass,-20,47,455,
2023-07-06 10:24:15,主世界,Creapeton,-18,50,455,方块接受玩家互动,minecraft:command_block,-20,48,455,
2023-07-06 10:24:15,主世界,Creapeton,-18,50,455,打开容器,minecraft:command_block,-20,48,455,
2023-07-06 10:24:22,主世界,Creapeton,-17,50,456,放置方块,minecraft:glass,-19,47,455,
2023-07-06 10:24:29,主世界,Creapeton,-17,50,456,方块接受玩家互动,minecraft:command_block,-19,48,455,
