时间,维度,来源,X,Y,Z,事件,目标,x,y,z,附加信息
2023-07-11 01:55:59,,,,,,执行后台命令,list,,,,
2023-07-11 01:57:07,主世界,qwq,-28,72,452,进入服务器,,,,,xuid=-15272708471994112759
2023-07-11 01:57:07,主世界,weiheping,-28,72,452,进入服务器,,,,,xuid=-8438623246013463389
2023-07-11 10:24:20,,zhuan jiao2490,,,,开始进服,,,,,xuid=2535434519842113
2023-07-11 10:24:29,主世界,zhuan jiao2490,158,65,-112,进入服务器,,,,,xuid=2535434519842113
2023-07-11 10:24:45,主世界,zhuan jiao2490,155,65,-108,使用物品,钻石镐,,,,类型：minecraft:netherite_pickaxe
2023-07-11 10:24:45,主世界,zhuan jiao2490,155,65,-108,破坏方块,minecraft:stone,154,64,-107,
2023-07-11 10:24:46,主世界,zhuan jiao2490,155,65,-108,破坏方块,minecraft:stone,154,63,-107,
2023-07-11 10:24:46,主世界,zhuan jiao2490,155,65,-108,捡起物品,Polished Granite,155,64,-107,1个
2023-07-11 10:24:46,主世界,zhuan jiao2490,155,65,-108,捡起物品,Polished Granite,155,63,-107,1个
2023-07-11 10:24:47,主世界,zhuan jiao2490,155,65,-107,使用物品,钻石镐,,,,类型：minecraft:netherite_pickaxe
2023-07-11 10:24:47,主世界,zhuan jiao2490,155,65,-107,破坏方块,minecraft:stone,154,65,-107,
2023-07-11 10:24:48,主世界,zhuan jiao2490,155,65,-107,捡起物品,Polished Granite,154,65,-107,1个
2023-07-11 10:24:48,主世界,zhuan jiao2490,155,65,-107,使用物品,钻石镐,,,,类型：minecraft:netherite_pickaxe
2023-07-11 10:24:48,主世界,zhuan jiao2490,155,65,-107,破坏方块,minecraft:stone,154,66,-107,
2023-07-11 10:24:48,主世界,zhuan jiao2490,155,65,-107,破坏方块,minecraft:stone,154,67,-107,
2023-07-11 10:24:49,主世界,zhuan jiao2490,155,65,-107,捡起物品,Polished Granite,154,65,-106,1个
2023-07-11 10:24:49,主世界,zhuan jiao2490,155,65,-107,捡起物品,Stone,154,65,-106,1个
2023-07-11 10:24:50,主世界,zhuan jiao2490,155,65,-107,放置方块,minecraft:stone,154,68,-107,
